maximum_low_carbon_build_rate,electrification_start_year,electricity_demand_in_2050,average_life_of_low_carbon_generation,renewable_electricity_in_2020,ccs_by_2020,nuclear_change_2012_2020,maximum_low_carbon_build_rate_contraction,maximum_low_carbon_build_rate_expansion,minimum_low_carbon_build_rate,maxmean2050,minmean2050,annual_change_in_non_electricity_traded_emissions,electricity_emissions_during_cb4,emissions_factor_2030,electricity_emissions_absolute_2050
57.0,2025.0,490.0,37.0,0.34856057498674176,2.9822938788691573,-6.0,0.6974948626043145,0.736751426314062,7.804339505600667,2.87517473232128,0.32604306157455143,-0.016998912596423936,417.4397268820718,0.5109750412783095,2.0880881740873045
65.0,2040.0,621.0,49.0,0.02553719390073933,5.877688249301929,-18.0,0.27859868183817293,0.9263269015260196,1.7245117737964313,2.725436925650399,0.21744369157910393,-0.037441330217934166,665.891702363449,18.024493228102944,9.674550882063187
75.0,2023.0,314.0,59.0,0.0008810967120571666,5.270286267241541,-6.0,0.21874845712113972,0.19631601052927045,5.501301420435093,1.523860430472984,0.13815468021655836,-0.03650980082871725,707.7272169294868,165.9475265612209,0.0
98.0,2026.0,317.0,43.0,0.24267566616561892,0.07095198663107549,-43.0,0.706915112013934,0.2256191869326094,2.68929922414195,2.9457083535109834,0.4063206846984917,-0.017198595448755502,762.8937528944266,193.43461288906778,0.0
15.0,2029.0,310.0,63.0,0.1267737652138551,2.946554061352826,-12.0,0.9489654417057712,0.9831680618962196,6.048883064194077,2.5715063350570517,0.336343763367995,0.004311733788867081,809.5656067576327,133.89158375180523,16.64633199782546
19.0,2037.0,635.0,28.0,0.03332170031633516,3.6538208079489904,-50.0,0.7703366124388087,0.7503962487805479,8.009558421680323,1.8907579513306039,0.1703214173469582,-0.025957063919101117,750.2615717562018,174.790267871753,108.97361408889346
89.0,2024.0,579.0,52.0,0.1778447439904606,5.208621447527431,0.0,0.9551098863269989,0.13495634311744045,1.6701294939250675,1.7657161152615934,0.48547007728914027,-0.023111440059382263,671.6034364570212,157.481357013717,0.0
57.0,2040.0,678.0,47.0,0.331235834331906,5.713962942780361,-25.0,0.6802059249630626,0.7569027321641777,5.119109604661879,2.345616842117873,0.17797674867986044,0.000986630600293227,534.9963841135248,0.0,7.926308701872831
14.0,2040.0,458.0,39.0,0.07146038005864445,5.008199150170721,-30.0,0.7100955691425529,0.7531930818056289,2.301064985254516,1.8588849232599776,0.44686635610815684,-0.034144428632517564,724.9185229096133,199.56804143966664,57.33285674607419
29.0,2039.0,478.0,60.0,0.23668298442476746,5.335444109571177,-33.0,0.6285058801077855,0.32492171391830427,4.416473852829195,1.8100136608702888,0.42897214596181354,-0.003946669810886733,758.019807948646,88.16426472443845,6.9818423396568
92.0,2031.0,399.0,27.0,0.25512224272888734,1.8313976674045354,-26.0,0.3359978894095985,0.4734490790478223,4.05104460806521,1.7045880723461844,0.2796058009116456,0.0045300924738171724,665.2756103315328,0.0,0.0
51.0,2028.0,435.0,64.0,0.2708353339068975,4.567822956726758,-17.0,0.276397987650424,0.9813869335941543,1.200488072992744,2.781778157179852,0.4655125112073194,-0.02357542321268175,429.9938430412372,0.01638846880758741,0.0
36.0,2023.0,355.0,70.0,0.25268320043288195,2.4111991580578733,-38.0,0.3012811840387468,0.30304505326691394,9.10871506486582,1.513253591544882,0.12021181051322177,-0.030703878229640623,575.3350145743709,49.16146793345543,0.0
60.0,2037.0,699.0,30.0,0.0646715522657356,0.5183999583316534,-54.0,0.15728074995605193,0.8203515629867716,9.410305789501367,2.2551328415373346,0.2195379308088756,-0.03569121064451601,550.0648106007579,2.9895891647341237,18.81275681288997
81.0,2026.0,575.0,37.0,0.17089999142681528,3.9216800244555916,-36.0,0.2003439593671672,0.5563612369654666,0.12138017383967793,2.0174778517882155,0.19239348390967856,0.005959152852852416,925.6114742030478,161.54869985508992,0.0
58.0,2038.0,522.0,62.0,0.0906302126782295,2.0880202539268566,-40.0,0.9792633665563677,0.6626678157468614,3.8429516926316727,1.555462137554112,0.23507992295565186,0.0004563838415568913,819.2066105189327,19.485892244130604,0.0
